title,genres,director,actor1,actor2,actor3,comb
bad education,Drama Crime History,Cory Finley,Hugh Jackman,Allison Janney,Geraldine Viswanathan,Hugh Jackman Allison Janney Geraldine Viswanathan Cory Finley Drama Crime History
dangerous lies,Thriller,Michael Scott,Camila Mendes,Jessie T. Usher,Jamie Chung,Camila Mendes Jessie T. Usher Jamie Chung Michael Scott Thriller
all day and a night,Drama,Joe Robert Cole,Ashton Sanders,Jeffrey Wright,Yahya Abdul-Mateen II,Ashton Sanders Jeffrey Wright Yahya Abdul-Mateen II Joe Robert Cole Drama
the wretched,Horror,The Pierce Brothers,John-Paul Howard,Piper Curda,Zarah Mahler,John-Paul Howard Piper Curda Zarah Mahler The Pierce Brothers Horror
the half of it,Comedy Romance,Alice Wu,Leah Lewis,Daniel Diemer,Alexxis Lemire,Leah Lewis Daniel Diemer Alexxis Lemire Alice Wu Comedy Romance
arkansas,Crime,Clark Duke,Andrew Boonkrong (screenplay); Liam Hemsworth,Clark Duke,Michael Kenneth Williams,Andrew Boonkrong (screenplay); Liam Hemsworth Clark Duke Michael Kenneth Williams Clark Duke Crime
valley girl,Comedy Romance,Rachel Lee Goldenberg,Jessica Rothe,Josh Whitehouse,Mae Whitman,Jessica Rothe Josh Whitehouse Mae Whitman Rachel Lee Goldenberg Comedy Romance
capone,Crime Drama,Josh Trank,Tom Hardy,Linda Cardellini,Jack Lowden,Tom Hardy Linda Cardellini Jack Lowden Josh Trank Crime Drama
the wrong missy,Comedy Romance,Tyler Spindel,David Spade,Lauren Lapkus,Geoff Pierson,David Spade Lauren Lapkus Geoff Pierson Tyler Spindel Comedy Romance
scoob!,Family Animation Comedy Adventure,Tony Cervone,Will Forte,Mark Wahlberg,Jason Isaacs,Will Forte Mark Wahlberg Jason Isaacs Tony Cervone Family Animation Comedy Adventure
blood and money,Thriller Crime,John Barr,Mike McGrale,Kristen Hager,Mark Sivertsen,Mike McGrale Kristen Hager Mark Sivertsen John Barr Thriller Crime
body cam,Horror Thriller Mystery,Malik Vitthal,Mary J. Blige,Nat Wolff,David Zayas,Mary J. Blige Nat Wolff David Zayas Malik Vitthal Horror Thriller Mystery
the lovebirds,Action Comedy Romance,Michael Showalter,Issa Rae,Kumail Nanjiani,Paul Sparks,Issa Rae Kumail Nanjiani Paul Sparks Michael Showalter Action Comedy Romance
inheritance,Thriller,Vaughn Stein,Lily Collins,Simon Pegg,Chace Crawford,Lily Collins Simon Pegg Chace Crawford Vaughn Stein Thriller
survive the night,Action Thriller,Matt Eskandari,Bruce Willis,Chad Michael Murray,,Bruce Willis Chad Michael Murray  Matt Eskandari Action Thriller
the high note,Romance Comedy Music Drama,Nisha Ganatra,Dakota Johnson,Tracee Ellis Ross,Kelvin Harrison Jr.,Dakota Johnson Tracee Ellis Ross Kelvin Harrison Jr. Nisha Ganatra Romance Comedy Music Drama
shirley,Drama Thriller Mystery,Josephine Decker,Elisabeth Moss,Michael Stuhlbarg,Odessa Young,Elisabeth Moss Michael Stuhlbarg Odessa Young Josephine Decker Drama Thriller Mystery
the last days of american crime,Action Crime Thriller,Olivier Megaton,Édgar Ramírez,Anna Brewster,Michael Pitt,Édgar Ramírez Anna Brewster Michael Pitt Olivier Megaton Action Crime Thriller
becky,Horror Crime Thriller,"Jonathan Milott, Cary Murnion",Lulu Wilson,Kevin James,Joel McHale,"Lulu Wilson Kevin James Joel McHale Jonathan Milott, Cary Murnion Horror Crime Thriller"
think like a dog,Family Comedy Drama,Gil Junger,Josh Duhamel,Megan Fox,,Josh Duhamel Megan Fox  Gil Junger Family Comedy Drama
artemis fowl,Adventure Fantasy Science Fiction Family Action,Kenneth Branagh,Ferdia Shaw,Lara McDonnell,Josh Gad,Ferdia Shaw Lara McDonnell Josh Gad Kenneth Branagh Adventure Fantasy Science Fiction Family Action
da 5 bloods,War Drama,Spike Lee,Danny Bilson,Jonathan Majors,Clarke Peters,Danny Bilson Jonathan Majors Clarke Peters Spike Lee War Drama
the king of staten island,Comedy Drama,Judd Apatow,Pete Davidson,Marisa Tomei,Bill Burr,Pete Davidson Marisa Tomei Bill Burr Judd Apatow Comedy Drama
sniper: assassin's end,Action,Kaare Andrews,Chad Michael Collins,Tom Berenger,Sayaka Akimoto,Chad Michael Collins Tom Berenger Sayaka Akimoto Kaare Andrews Action
you should have left,Horror Mystery Drama Thriller,David Koepp,Kevin Bacon,Amanda Seyfried,,Kevin Bacon Amanda Seyfried  David Koepp Horror Mystery Drama Thriller
wasp network,Drama History Thriller,Olivier Assayas,Penélope Cruz,Édgar Ramírez,Gael García Bernal,Penélope Cruz Édgar Ramírez Gael García Bernal Olivier Assayas Drama History Thriller
feel the beat,Comedy Music Drama,Elissa Down,,Enrico Colantoni,Wolfgang Novogratz, Enrico Colantoni Wolfgang Novogratz Elissa Down Comedy Music Drama
7500,Action Drama Thriller,Patrick Vollrath,Joseph Gordon-Levitt,,,Joseph Gordon-Levitt   Patrick Vollrath Action Drama Thriller
athlete a,Documentary,"Bonni Cohen, Jon Shenk",,Jon Shenk (director),," Jon Shenk (director)  Bonni Cohen, Jon Shenk Documentary"
eurovision song contest: the story of fire saga,Comedy Music,David Dobkin,Will Ferrell,Rachel McAdams,Dan Stevens,Will Ferrell Rachel McAdams Dan Stevens David Dobkin Comedy Music
irresistible,Comedy Drama,Jon Stewart,Steve Carell,Chris Cooper,Mackenzie Davis,Steve Carell Chris Cooper Mackenzie Davis Jon Stewart Comedy Drama
my spy,Family Action Comedy,Peter Segal,Dave Bautista,Chloe Coleman,Kristen Schaal,Dave Bautista Chloe Coleman Kristen Schaal Peter Segal Family Action Comedy
hamilton,History Music Drama,Thomas Kail,,Phillipa Soo,Leslie Odom Jr., Phillipa Soo Leslie Odom Jr. Thomas Kail History Music Drama
relic,Horror Drama Mystery Thriller,Natalie Erika James,Christian White (screenplay); Emily Mortimer,Robyn Nevin,Bella Heathcote,Christian White (screenplay); Emily Mortimer Robyn Nevin Bella Heathcote Natalie Erika James Horror Drama Mystery Thriller
desperados,Comedy Romance,LP,Anna Camp,Robbie Amell,Nasim Pedrad,Anna Camp Robbie Amell Nasim Pedrad LP Comedy Romance
